Year;Number of homicide incidents;;
Apr 2001 to Mar 2002;761;;
Apr 2002 to Mar 2003;735;;
Apr 2003 to Mar 2004;732;;
Apr 2004 to Mar 2005;748;;
Apr 2005 to Mar 2006;641;;
Apr 2006 to Mar 2007;678;;
Apr 2007 to Mar 2008;714;;
Apr 2008 to Mar 2009;616;;
Apr 2009 to Mar 2010;573;;
Apr 2010 to Mar 2011;599;;
Apr 2011 to Mar 2012;496;;
Apr 2012 to Mar 2013;508;;
Apr 2013 to Mar 2014;506;;
Apr 2014 to Mar 2015;488;;
Apr 2015 to Mar 2016;526;;
Apr 2016 to Mar 2017;566;;
Apr 2017 to Mar 2018;638;;
Apr 2018 to Mar 2019;631;;
Apr 2019 to Mar 2020;618;;
Apr 2020 to Mar 2021;545;;
Apr 2021 to Mar 2022;661;;
Apr 2022 to Mar 2023;571;;
;;;
;;;
;;;
;;;
;;;
