Sex of victim;Victim acquainted with suspect;Relationship to principal suspect;Apr 2012 to Mar 2013;Apr 2013 to Mar 2014;"Apr 2014 to Mar 2015
[note 17]";Apr 2015 to Mar 2016;Apr 2016 to Mar 2017;Apr 2017 to Mar 2018;"Apr 2018 to Mar 2019
[note 17]";Apr 2019 to Mar 2020;"Apr 2020 to Mar 2021
[note 17]";Apr 2021 to Mar 2022;Apr 2022 to Mar 2023
Male;Victim acquainted with suspect;Son or daughter;53;50;68;44;50;59;36;38;60;40;34
Male;Victim acquainted with suspect;Other family/friend/acquaintance;13;10;10;6;11;15;30;15;14;16;17
Male;Victim acquainted with suspect;Total ;66;60;77;50;61;74;67;53;74;56;52
Male;Victim not known to be acquainted with suspect;Stranger;5;10;3;[x];[x];[x];12;15;3;5;7
Male;Victim not known to be acquainted with suspect;Relationship not known;8;[x];[x];6;[x];7;3;3;3;7;0
Male;Victim not known to be acquainted with suspect;No suspect charged [notes 31,47];21;30;19;44;39;19;18;29;20;33;41
Male;Victim not known to be acquainted with suspect;Total ;34;40;23;50;39;26;33;47;26;44;48
Male;Total;Total;100;100;100;100;100;100;100;100;100;100;100
Female;Victim acquainted with suspect;Son or daughter;62;68;59;74;48;32;60;55;74;27;37
Female;Victim acquainted with suspect;Other family/friend/acquaintance;10;8;9;5;10;15;17;9;4;27;21
Female;Victim acquainted with suspect;Total ;72;76;68;79;57;47;77;64;78;53;58
Female;Victim not known to be acquainted with suspect;Stranger;[x];4;5;11;10;24;[x];9;[x];20;11
Female;Victim not known to be acquainted with suspect;Relationship not known;7;[x];[x];5;5;[x];3;[x];[x];[x];[x]
Female;Victim not known to be acquainted with suspect;No suspect charged [notes 31,47];21;20;27;5;29;29;20;27;22;27;32
Female;Victim not known to be acquainted with suspect;Total ;28;24;32;21;43;53;23;36;22;47;42
Female;Total;Total;100;100;100;100;100;100;100;100;100;100;100
All victims;Victim acquainted with suspect;Son or daughter;57;60;63;60;49;44;47;42;64;36;35
All victims;Victim acquainted with suspect;Other family/friend/acquaintance;12;9;9;6;11;15;23;13;10;19;19
All victims;Victim acquainted with suspect;Total ;69;69;72;66;60;59;70;56;75;55;54
All victims;Victim not known to be acquainted with suspect;Stranger;3;7;4;[x];3;13;6;13;2;9;8
All victims;Victim not known to be acquainted with suspect;Relationship not known;7;0;0;6;2;3;3;2;2;5;0
All victims;Victim not known to be acquainted with suspect;No suspect charged [notes 31,47];21;24;24;23;35;25;20;29;22;31;38
All victims;Victim not known to be acquainted with suspect;Total ;31;31;28;34;40;41;30;44;25;45;46
All victims;Total;Total [notes 4,17];100;100;100;100;100;100;100;100;100;100;100
