Year;initially recorded as homicide;no longer recorded as homicide; currently recorded as homicide;rate per million population
Jan 1960 to Dec 1960;282;;;
Jan 1961 to Dec 1961;265;;;
Jan 1962 to Dec 1962;299;;;
Jan 1963 to Dec 1963;307;;;
Jan 1964 to Dec 1964;296;;;
Jan 1965 to Dec 1965;325;;;
Jan 1966 to Dec 1966;364;;;
Jan 1967 to Dec 1967;414;60;354;7,3
Jan 1968 to Dec 1968;420;60;360;7,4
Jan 1969 to Dec 1969;395;63;332;6,8
Jan 1970 to Dec 1970;396;57;339;7
Jan 1971 to Dec 1971;459;52;407;8,3
Jan 1972 to Dec 1972;480;71;409;8,3
Jan 1973 to Dec 1973;465;74;391;8
Jan 1974 to Dec 1974;599;73;526;10,7
Jan 1975 to Dec 1975;508;65;443;9
Jan 1976 to Dec 1976;565;77;488;9,9
Jan 1977 to Dec 1977;484;71;413;8,5
Jan 1978 to Dec 1978;536;68;468;9,6
Jan 1979 to Dec 1979;620;73;547;11,1
Jan 1980 to Dec 1980;626;91;535;11,1
Jan 1981 to Dec 1981;556;55;501;10,1
Jan 1982 to Dec 1982;618;61;557;11,2
Jan 1983 to Dec 1983;552;70;482;9,7
Jan 1984 to Dec 1984;619;82;537;10,8
Jan 1985 to Dec 1985;625;89;536;10,7
Jan 1986 to Dec 1986;659;96;563;11,2
Jan 1987 to Dec 1987 [note 6];687;87;600;11,9
Jan 1988 to Dec 1988;645;98;547;10,9
Jan 1989 to Dec 1989;622;101;521;10,3
Jan 1990 to Dec 1990;661;107;554;10,9
Jan 1991 to Dec 1991;725;103;622;12,3
Jan 1992 to Dec 1992;681;100;581;11,4
Jan 1993 to Dec 1993;674;108;566;11,1
Jan 1994 to Dec 1994;728;95;633;12,4
Jan 1995 to Dec 1995;752;90;662;13
Jan 1996 to Dec 1996;676;90;586;11,4
Jan 1997 to Dec 1997;734;127;607;11,8
Apr 1997 to Mar 1998;728;125;603;11,7
Apr 1998 to Mar 1999;741;101;640;12,4
Apr 1999 to Mar 2000;761;91;670;12,9
Apr 2000 to Mar 2001 [note 7];847;87;760;14,6
Apr 2001 to Mar 2002;857;64;793;15,1
Apr 2002 to Mar 2003 [note 8];1.043;99;944;17,9
Apr 2003 to Mar 2004 [note 9];857;79;778;14,7
Apr 2004 to Mar 2005;833;55;778;14,6
Apr 2005 to Mar 2006 [note 10];767;57;710;13,3
Apr 2006 to Mar 2007;752;39;713;13,2
Apr 2007 to Mar 2008;774;42;732;13,5
Apr 2008 to Mar 2009;672;35;637;11,6
Apr 2009 to Mar 2010;623;29;594;10,8
Apr 2010 to Mar 2011 [note 11];655;22;633;11,4
Apr 2011 to Mar 2012;545;20;525;9,3
Apr 2012 to Mar 2013;567;24;543;9,6
Apr 2013 to Mar 2014;539;19;520;9,1
Apr 2014 to Mar 2015;526;22;504;8,8
Apr 2015 to Mar 2016;556;18;538;9,3
Apr 2016 to Mar 2017 [note 12];707;18;689;11,8
Apr 2017 to Mar 2018 [note 13];718;21;697;11,9
Apr 2018 to Mar 2019;655;14;641;10,8
Apr 2019 to Mar 2020 [note 14];689;13;676;11,4
Apr 2020 to Mar 2021;568;11;557;9,3
Apr 2021 to Mar 2022;691;7;684;11,5
Apr 2022 to Mar 2023;591;1;590;9,9
