Ethnic appearance of victim;Age of victim;Apr 2012 to Mar 2013;Apr 2013 to Mar 2014;Apr 2014 to Mar 2015;Apr 2015 to Mar 2016 [note 17];Apr 2016 to Mar 2017 [note 12];Apr 2017 to Mar 2018  [note 13];Apr 2018 to Mar 2019;Apr 2019 to Mar 2020 [note 14];"Apr 2020 to Mar 2021
[note 17]";"Apr 2021 to Mar 2022
";Apr 2022 to Mar 2023
White;Under 1;4;3;4;2;3;3;4;2;5;3;3
White;1 to 4;4;2;3;1;1;2;3;2;2;2;1
White;5 to 15;4;1;3;2;5;3;2;2;2;3;3
White;16 to 24;14;14;14;13;19;15;9;12;11;13;11
White;25 to 34;16;17;14;19;19;20;23;18;20;13;15
White;35 to 44;19;19;17;20;19;19;16;19;18;19;18
White;45 to 54;18;17;19;20;14;16;19;16;17;19;19
White;55 to 64;9;11;10;10;9;11;9;12;9;13;13
White;65 to 74;6;6;6;6;4;6;6;9;8;7;5
White;75 plus;7;9;10;7;6;7;9;8;8;9;11
White;Total;100;100;100;100;100;100;100;100;100;100;100
Black;Under 1;2;4;2;[x];[x];[x];2;2;1;2;[x]
Black;1 to 4;8;5;2;3;2;[x];1;1;3;6;3
Black;5 to 15;4;2;2;3;6;7;6;5;4;6;1
Black;16 to 24;33;47;41;47;42;51;49;49;36;36;36
Black;25 to 34;33;16;23;22;22;26;15;21;31;24;29
Black;35 to 44;8;9;16;16;12;12;16;14;8;7;9
Black;45 to 54;10;16;4;5;10;1;7;5;5;6;8
Black;55 to 64;[x];2;5;3;1;2;2;2;8;7;11
Black;65 to 74;2;[x];2;[x];2;1;1;1;1;2;1
Black;75 plus;2;[x];4;2;2;[x];1;[x];2;2;1
Black;Total;100;100;100;100;100;100;100;100;100;100;100
Other [notes 20];Under 1;2;1;8;4;2;1;2;3;[x];1;4
Other [notes 20];1 to 4;2;8;2;2;2;3;5;2;9;1;4
Other [notes 20];5 to 15;9;7;2;4;[x];6;[x];2;3;5;7
Other [notes 20];16 to 24;20;21;21;8;30;32;29;30;23;23;28
Other [notes 20];25 to 34;25;24;15;19;21;11;22;28;19;24;18
Other [notes 20];35 to 44;25;15;25;21;21;17;17;22;20;17;12
Other [notes 20];45 to 54;11;8;13;21;14;23;10;6;11;15;9
Other [notes 20];55 to 64;2;4;6;8;5;1;6;2;9;5;12
Other [notes 20];65 to 74;2;8;4;4;5;6;6;3;5;6;[x]
Other [notes 20];75 plus;[x];1;4;8;[x];[x];3;1;[x];4;4
Other [notes 20];Total;100;100;100;100;100;100;100;100;100;100;100
Not known/not recorded;Under 1;20;[x];40;10;11;9;30;17;38;13;12
Not known/not recorded;1 to 4;[x];8;[x];5;7;[x];3;[x];14;[x];[x]
Not known/not recorded;5 to 15;20;[x];13;[x];[x];23;6;[x];[x];[x];6
Not known/not recorded;16 to 24;10;[x];7;[x];11;9;15;7;14;17;6
Not known/not recorded;25 to 34;10;33;[x];10;11;9;3;14;5;17;[x]
Not known/not recorded;35 to 44;10;25;7;5;21;11;9;21;5;8;12
Not known/not recorded;45 to 54;[x];17;7;19;14;9;18;14;[x];21;18
Not known/not recorded;55 to 64;20;8;7;14;11;11;6;14;5;17;24
Not known/not recorded;65 to 74;[x];[x];13;14;[x];6;3;10;[x];4;12
Not known/not recorded;75 plus;10;8;7;19;14;14;6;3;14;4;12
Not known/not recorded;Total;100;100;100;100;100;100;100;100;100;100;100
Total all ethnicities;Under 1;4;3;5;2;3;2;5;3;5;3;3
Total all ethnicities;1 to 4;4;3;3;2;2;2;3;2;3;2;2
Total all ethnicities;5 to 15;4;2;3;2;4;5;3;2;3;4;3
Total all ethnicities;16 to 24;16;18;17;16;22;21;17;21;17;18;17
Total all ethnicities;25 to 34;18;18;15;19;19;19;21;20;21;16;17
Total all ethnicities;35 to 44;18;17;17;19;18;17;16;19;16;16;16
Total all ethnicities;45 to 54;16;16;17;18;14;14;16;13;14;17;16
Total all ethnicities;55 to 64;8;9;9;9;8;9;7;9;9;11;13
Total all ethnicities;65 to 74;6;6;6;5;3;5;5;7;6;6;4
Total all ethnicities;75 plus;6;7;8;7;6;6;7;5;6;7;8
Total all ethnicities;Total;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;
