Age of victim;Sex of victim;Apr 2012 to Mar 2013;Apr 2013 to Mar 2014;Apr 2014 to Mar 2015 ;Apr 2015 to Mar 2016 ;Apr 2016 to Mar 2017 [note 12];Apr 2017 to Mar 2018  [note 13];Apr 2018 to Mar 2019 ;Apr 2019 to Mar 2020 [note 14];"Apr 2020 to Mar 2021
";Apr 2021 to Mar 2022;Apr 2022 to Mar 2023;;;;;;;;;;;
Under 1 year;Male;26,7;21,9;41,9;16,8;41,6;22,8;43,7;38,9;49,4;38,6;28,9;;;;;;;;;;;
Under 1 year;Female;33,6;23,1;26,5;17,7;20,5;26,9;39,9;15,8;32,5;21,2;28,3;;;;;;;;;;;
Under 1 year;Total;30,1;22,5;35,8;17,2;31,3;24,8;43,3;27,7;42,8;29,6;28,0;;;;;;;;;;;
1 to 4;Male;9,6;4,1;4,7;2,7;5,4;3,4;4,1;4,8;4,9;10,5;4,5;;;;;;;;;;;
1 to 4;Female;5,0;8,5;4,2;4,2;[u1];5,0;8,7;3,6;8,2;[u1];[u1];;;;;;;;;;;
1 to 4;Total;7,4;6,2;4,5;3,4;4,1;4,2;6,3;4,3;6,5;6,5;4,2;;;;;;;;;;;
5 to 15;Male;3,8;1,6;2,4;1,6;5,5;3,6;3,0;3,5;2,9;4,3;3,5;;;;;;;;;;;
5 to 15;Female;2,9;1,4;2,0;2,0;2,7;4,8;1,3;[u1];[u1];1,9;1,7;;;;;;;;;;;
5 to 15;Total;3,4;1,5;2,2;1,8;4,1;4,2;2,2;1,9;1,7;3,1;2,6;;;;;;;;;;;
16 to 24;Male;20,1;21,4;19,9;20,3;39,6;36,1;29,1;37,7;25,9;33,1;26,9;;;;;;;;;;;
16 to 24;Female;5,8;7,4;5,9;5,3;7,0;9,0;5,5;5,9;3,3;5,4;4,4;;;;;;;;;;;
16 to 24;Total;13,1;14,5;13,1;13,0;23,7;22,9;17,6;22,4;14,9;19,3;15,7;;;;;;;;;;;
25 to 34;Male;18,1;17,1;13,6;18,6;26,5;23,2;23,4;24,5;21,5;22,0;18,9;;;;;;;;;;;
25 to 34;Female;7,3;7,2;5,6;7,1;6,8;10,1;9,8;9,1;8,1;6,4;7,4;;;;;;;;;;;
25 to 34;Total;12,7;12,1;9,6;12,8;16,7;16,7;16,6;16,9;14,9;13,8;12,8;;;;;;;;;;;
35 to 44;Male;20,0;17,9;14,8;19,1;23,2;24,9;18,3;25,8;17,6;21,2;17,2;;;;;;;;;;;
35 to 44;Female;6,2;6,1;8,8;8,0;10,4;7,8;8,5;8,2;5,8;8,4;7,4;;;;;;;;;;;
35 to 44;Total;13,1;12,0;11,8;13,5;16,8;16,3;13,4;16,9;11,6;14,4;12,0;;;;;;;;;;;
45 to 54;Male;16,9;14,5;12,8;15,2;16,8;16,6;17,7;16,6;14,1;20,4;17,3;;;;;;;;;;;
45 to 54;Female;5,5;6,2;8,1;9,0;6,3;8,0;8,2;4,9;5,2;9,5;7,6;;;;;;;;;;;
45 to 54;Total;11,2;10,3;10,4;12,0;11,5;12,2;12,9;10,7;9,6;14,6;12,2;;;;;;;;;;;
55 to 64;Male;8,2;9,2;8,5;9,9;14,3;13,3;8,4;9,9;9,7;15,4;16,5;;;;;;;;;;;
55 to 64;Female;5,2;5,5;5,5;5,1;2,4;4,6;5,3;6,8;3,7;5,0;4,4;;;;;;;;;;;
55 to 64;Total;6,7;7,3;6,9;7,5;8,2;8,9;6,8;8,3;6,6;10,0;10,2;;;;;;;;;;;
65 to 74;Male;8,4;4,7;7,9;7,7;6,5;7,4;4,6;10,5;5,9;7,0;4,6;;;;;;;;;;;
65 to 74;Female;3,4;6,1;3,2;2,7;2,0;4,6;6,9;5,2;5,8;8,0;3,8;;;;;;;;;;;
65 to 74;Total;5,8;5,4;5,5;5,1;4,2;6,0;5,8;7,7;5,9;7,3;4,1;;;;;;;;;;;
75 plus;Male;6,0;6,9;7,2;10,6;7,0;8,8;7,1;5,0;8,5;10,2;9,3;;;;;;;;;;;
75 plus;Female;7,6;9,0;10,3;6,6;9,1;7,6;10,6;8,6;5,8;8,2;9,9;;;;;;;;;;;
75 plus;Total;6,9;8,1;9,0;8,3;8,2;8,1;9,1;7,1;7,0;9,1;9,7;;;;;;;;;;;
Total all ages;Male;13,5;12,0;11,3;12,7;17,9;16,6;14,3;16,8;13,5;16,9;14,2;;;;;;;;;;;
Total all ages;Female;5,8;6,4;6,3;5,9;5,9;7,2;7,4;6,1;5,2;6,6;6,0;;;;;;;;;;;
Total all ages;Total;9,6;9,1;8,8;9,3;11,8;11,9;10,8;11,4;9,3;11,5;9,9;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
